Suffolk County Community College,Crooked Hill Rd,Brentwood,NY,11717,Public Space,40.793515,-73.275147
Adelphi University,1 South Avenue,Garden City,NY,11530,Public Space,40.7220713,-73.6506271
Chase,277 Park Avenue,NY,NY,10172,Event Space,40.755515,-73.974987
Citi Bank,One Court Square,Long Island City,NY,11120,Event Space,40.7462931,-73.9427248
Nassau Community College,One Education Drive,Garden City,NY,11530,Public Space,40.7305695,-73.5918914
Brooklyn College,2900 Bedford Avenue,Brooklyn,NY,11220,Public Space,40.6319734,-73.9527154
Kingsborough Community College,2001 Oriental Boulevard,Brooklyn,NY,11235,Public Space,40.578349,-73.934465
Prospect Hall,263 Prospect Avenue,Brooklyn,NY,11215,Conference Center,40.6637469,-73.989691
Brooklyn Chamber of Commerce,25 Elm Place Suite 200,Brooklyn,NY,11201,Public Space,40.689831,-73.984208
Queens Chamber of Commerce,75-20 Astoria Blvd. Suite 140,Jackson Heights,NY,11370,Public Space,40.764071,-73.89336
The Entrepreneur's Space,"75-20 Astoria Blvd. Suite 140,",Long Island City,NY,11101,Event Space,40.768188,-73.907298
Dazies Restaurant,39-41 Queens Blvd.,Sunnyside,NY,11104,Restaurant,40.7441004,-73.9251863
New York Marriott,1535 Broadway,NY,NY,10036,Conference Center,40.758408,-73.985517
Arverne By the Sea,7303-05 Spinnaker Drive,Arverne,NY,11692,Event Space,40.586946,-73.80099
Dyker Beach Country Club,86th Street and 7th Avenue,Brooklyn,NY,11228,Event Space,40.618472,-74.021216
Marina Del Rey,One Marina Drive,Throgs Neck,NY,10465,Event Space,40.8145772,-73.8148732
Nara Bank,50-15 Roosevelt Ave.,Woodside,NY,11377,Event Space,40.744008,-73.914257
Hard Rock Cafe,1 East 161st Street,Bronx,NY,10451,Restaurant,40.8289579,-73.9283697
Yankee Stadium,One East 161st Street,Bronx,NY,10451,Event Space,40.8289579,-73.9283697
Citi Field,Roosevelt Avenue,Flushing,NY,11368,Event Space,40.751935,-73.855571
